"new.names";"old.names"
"L331SR_R1.fastq.gz";"L331SR_R1.fastq.gz"
"L331SR_R2.fastq.gz";"L331SR_R2.fastq.gz"
"L332D_R1.fastq.gz";"L332_R1.fastq.gz"
"L332D_R2.fastq.gz";"L332_R2.fastq.gz"
"L332R_R1.fastq.gz";"L332R_R1.fastq.gz"
"L332R_R2.fastq.gz";"L332R_R2.fastq.gz"
"L332SD_R1.fastq.gz";"L332SD_R1.fastq.gz"
"L332SD_R2.fastq.gz";"L332SD_R2.fastq.gz"
"L332SR_R1.fastq.gz";"L332SR_R1.fastq.gz"
"L332SR_R2.fastq.gz";"L332SR_R2.fastq.gz"
"L333D_R1.fastq.gz";"L333_R1.fastq.gz"
"L333D_R2.fastq.gz";"L333_R2.fastq.gz"
"L333DSeq_R1.fastq.gz";"L333DSeq_R1.fastq.gz"
"L333DSeq_R2.fastq.gz";"L333DSeq_R2.fastq.gz"
"L333R_R1.fastq.gz";"L333R_R1.fastq.gz"
"L333R_R2.fastq.gz";"L333R_R2.fastq.gz"
"L334D_R1.fastq.gz";"L334_R1.fastq.gz"
"L334D_R2.fastq.gz";"L334_R2.fastq.gz"
"L334R_R1.fastq.gz";"L334R_R1.fastq.gz"
"L334R_R2.fastq.gz";"L334R_R2.fastq.gz"
"L3351D_R1.fastq.gz";"L335-1_R1.fastq.gz"
"L3351D_R2.fastq.gz";"L335-1_R2.fastq.gz"
"L3362D_R1.fastq.gz";"L336-2_R1.fastq.gz"
"L3362D_R2.fastq.gz";"L336-2_R2.fastq.gz"
"L349D_R1.fastq.gz";"L349D_R1.fastq.gz"
"L349D_R2.fastq.gz";"L349D_R2.fastq.gz"
"L349R_R1.fastq.gz";"L349R_R1.fastq.gz"
"L349R_R2.fastq.gz";"L349R_R2.fastq.gz"
"PR01D_R1.fastq.gz";"LR001_R1.fastq.gz"
"PR01D_R2.fastq.gz";"LR001_R2.fastq.gz"
"PR03D_R1.fastq.gz";"LR002_R1.fastq.gz"
"PR03D_R2.fastq.gz";"LR002_R2.fastq.gz"
"PR03DSeq_R1.fastq.gz";"LR002d_R1.fastq.gz"
"PR03DSeq_R2.fastq.gz";"LR002d_R2.fastq.gz"
"PR05D_R1.fastq.gz";"LR003_R1.fastq.gz"
"PR05D_R2.fastq.gz";"LR003_R2.fastq.gz"
"PR07D_R1.fastq.gz";"LR004_R1.fastq.gz"
"PR07D_R2.fastq.gz";"LR004_R2.fastq.gz"
"PR09D_R1.fastq.gz";"LR005_R1.fastq.gz"
"PR09D_R2.fastq.gz";"LR005_R2.fastq.gz"
"LR01D_R1.fastq.gz";"LR006_R1.fastq.gz"
"LR01D_R2.fastq.gz";"LR006_R2.fastq.gz"
"LR03D_R1.fastq.gz";"LR007_R1.fastq.gz"
"LR03D_R2.fastq.gz";"LR007_R2.fastq.gz"
"LR05D_R1.fastq.gz";"LR008_R1.fastq.gz"
"LR05D_R2.fastq.gz";"LR008_R2.fastq.gz"
"LR06D_R1.fastq.gz";"LR009_R1.fastq.gz"
"LR06D_R2.fastq.gz";"LR009_R2.fastq.gz"
"LR09D_R1.fastq.gz";"LR010_R1.fastq.gz"
"LR09D_R2.fastq.gz";"LR010_R2.fastq.gz"
"LR10D_R1.fastq.gz";"LR011_R1.fastq.gz"
"LR10D_R2.fastq.gz";"LR011_R2.fastq.gz"
"PR11D_R1.fastq.gz";"LR012_R1.fastq.gz"
"PR11D_R2.fastq.gz";"LR012_R2.fastq.gz"
"LR12D_R1.fastq.gz";"LR013_R1.fastq.gz"
"LR12D_R2.fastq.gz";"LR013_R2.fastq.gz"
"LR13D_R1.fastq.gz";"LR014_R1.fastq.gz"
"LR13D_R2.fastq.gz";"LR014_R2.fastq.gz"
"LR14D_R1.fastq.gz";"LR015_R1.fastq.gz"
"LR14D_R2.fastq.gz";"LR015_R2.fastq.gz"
"LR15D_R1.fastq.gz";"LR016_R1.fastq.gz"
"LR15D_R2.fastq.gz";"LR016_R2.fastq.gz"
"LR17D_R1.fastq.gz";"LR017_R1.fastq.gz"
"LR17D_R2.fastq.gz";"LR017_R2.fastq.gz"
"LR18D_R1.fastq.gz";"LR018_R1.fastq.gz"
"LR18D_R2.fastq.gz";"LR018_R2.fastq.gz"
"LR18DSeq_R1.fastq.gz";"LR018d_R1.fastq.gz"
"LR18DSeq_R2.fastq.gz";"LR018d_R2.fastq.gz"
"LR19D_R1.fastq.gz";"LR019_R1.fastq.gz"
"LR19D_R2.fastq.gz";"LR019_R2.fastq.gz"
"LR20D_R1.fastq.gz";"LR020_R1.fastq.gz"
"LR20D_R2.fastq.gz";"LR020_R2.fastq.gz"
"LRH04D_R1.fastq.gz";"LR021_R1.fastq.gz"
"LRH04D_R2.fastq.gz";"LR021_R2.fastq.gz"
"LRH07D_R1.fastq.gz";"LR022_R1.fastq.gz"
"LRH07D_R2.fastq.gz";"LR022_R2.fastq.gz"
"LRH08D_R1.fastq.gz";"LR023_R1.fastq.gz"
"LRH08D_R2.fastq.gz";"LR023_R2.fastq.gz"
"LRH09D_R1.fastq.gz";"LR024_R1.fastq.gz"
"LRH09D_R2.fastq.gz";"LR024_R2.fastq.gz"
"LRH10D_R1.fastq.gz";"LR025_R1.fastq.gz"
"LRH10D_R2.fastq.gz";"LR025_R2.fastq.gz"
"RO201D_R1.fastq.gz";"LR026_R1.fastq.gz"
"RO201D_R2.fastq.gz";"LR026_R2.fastq.gz"
"RO203D_R1.fastq.gz";"LR027_R1.fastq.gz"
"RO203D_R2.fastq.gz";"LR027_R2.fastq.gz"
"RO205D_R1.fastq.gz";"LR028_R1.fastq.gz"
"RO205D_R2.fastq.gz";"LR028_R2.fastq.gz"
"RO206D_R1.fastq.gz";"LR029_R1.fastq.gz"
"RO206D_R2.fastq.gz";"LR029_R2.fastq.gz"
"RO207D_R1.fastq.gz";"LR030_R1.fastq.gz"
"RO207D_R2.fastq.gz";"LR030_R2.fastq.gz"
"RO208D_R1.fastq.gz";"LR031_R1.fastq.gz"
"RO208D_R2.fastq.gz";"LR031_R2.fastq.gz"
"RO209D_R1.fastq.gz";"LR032_R1.fastq.gz"
"RO209D_R2.fastq.gz";"LR032_R2.fastq.gz"
"RO213D_R1.fastq.gz";"LR033_R1.fastq.gz"
"RO213D_R2.fastq.gz";"LR033_R2.fastq.gz"
"L313D_R1.fastq.gz";"LR034_R1.fastq.gz"
"L313D_R2.fastq.gz";"LR034_R2.fastq.gz"
"L314D_R1.fastq.gz";"LR035_R1.fastq.gz"
